experiment_id,dataset,unlabeled_pct,cotraining_start,conf_rgb,conf_fft,test_rgb_acc,test_fft_acc,test_combined_acc,rgb_confusion_matrix,fft_confusion_matrix,combined_confusion_matrix,num_classes,final_rgb_size,final_fft_size,unlabeled_used,rgb_pseudo_samples,fft_pseudo_samples,timestamp
organized_50_start5_rgb0.95_fft0.9,organized_50,50,5,0.95,0.9,0.9233870967741935,0.7899193548387097,0.9173387096774194,"113,10,0,0,5,14,0,616,0,0,0,2,0,3,189,0,16,0,1,0,0,321,3,0,12,27,43,2,719,40,1,6,0,0,5,332","57,26,2,0,37,20,21,526,3,3,57,8,16,46,106,1,37,2,3,0,0,318,3,1,50,58,15,8,675,37,25,14,1,0,27,277","105,13,0,0,8,16,0,615,0,0,2,1,0,8,180,0,19,1,1,0,0,323,1,0,12,32,37,2,722,38,0,8,0,0,6,330",6,6354,6575,4713,2139,2360,2025-11-12 23:18:02
organized_50_start5_rgb0.95_fft0.9,organized_50,50,5,0.95,0.9,0.9181451612903225,0.7838709677419354,0.9096774193548387,"95,0,0,0,20,27,0,599,0,0,10,9,0,4,164,0,40,0,1,0,0,320,4,0,6,11,18,3,774,31,1,1,0,0,17,325","13,23,0,0,63,43,1,468,5,2,119,23,1,19,100,0,65,23,1,0,0,323,0,1,5,36,11,6,722,63,0,10,0,0,16,318","84,0,0,0,27,31,0,589,0,1,20,8,0,4,157,0,46,1,1,0,0,324,0,0,5,13,16,4,766,39,0,1,0,0,7,336",6,6169,6805,4650,1954,2590,2025-11-13 21:17:24
organized_50_start5_rgb0.9_fft0.85,organized_50,50,5,0.9,0.85,0.9286290322580645,0.7903225806451613,0.917741935483871,"98,3,0,0,31,10,0,608,1,0,7,2,0,0,183,0,25,0,1,0,0,323,1,0,9,12,25,6,763,28,0,1,0,0,15,328","28,39,1,0,44,30,7,538,2,1,64,6,5,44,96,0,48,15,0,1,0,319,3,2,20,72,12,4,683,52,12,16,1,0,19,296","80,6,0,0,37,19,0,605,0,0,11,2,0,1,176,0,31,0,1,0,0,324,0,0,8,14,24,4,760,33,0,1,0,0,12,331",6,6261,6787,4677,2046,2572,2025-11-13 23:03:32
organized_50_start5_rgb0.85_fft0.8,organized_50,50,5,0.85,0.8,0.915725806451613,0.7616935483870968,0.8782258064516129,"92,9,0,0,28,13,0,605,0,1,12,0,0,2,180,0,26,0,0,1,0,324,0,0,3,22,32,6,748,32,1,6,1,1,13,322","9,91,2,0,34,6,1,587,2,1,26,1,0,73,113,0,22,0,1,2,0,320,2,0,2,162,18,4,632,25,3,80,1,0,32,228","66,36,1,0,30,9,0,605,0,1,12,0,0,32,158,0,18,0,0,1,0,324,0,0,3,71,22,4,716,27,0,20,0,0,15,309",6,6536,6704,4778,2321,2489,2025-11-14 00:49:58
organized_50_start7_rgb0.95_fft0.9,organized_50,50,7,0.95,0.9,0.9229838709677419,0.780241935483871,0.9137096774193548,"101,7,0,0,31,3,0,611,0,0,6,1,0,1,178,0,29,0,0,1,0,323,1,0,9,13,37,3,763,18,1,7,0,0,23,313","10,76,2,0,23,31,2,565,2,0,30,19,2,49,110,0,29,18,0,1,0,321,1,2,19,111,19,5,627,62,2,25,0,0,15,302","92,14,0,0,25,11,0,610,0,0,7,1,0,10,170,0,27,1,0,1,0,324,0,0,7,21,37,3,746,29,1,7,0,0,12,324",6,6401,6556,4356,2186,2341,2025-11-14 02:32:03
organized_50_start7_rgb0.9_fft0.85,organized_50,50,7,0.9,0.85,0.9274193548387096,0.769758064516129,0.9129032258064517,"111,3,0,0,23,5,0,606,0,0,11,1,0,0,181,0,27,0,1,0,0,324,0,0,11,11,34,5,761,21,0,4,0,2,21,317","38,61,1,0,32,10,6,563,3,0,46,0,7,52,119,0,30,0,0,1,0,312,12,0,22,126,15,3,654,23,14,46,1,0,60,223","105,8,0,0,26,3,0,605,0,0,13,0,0,12,173,0,23,0,0,1,0,324,0,0,9,27,31,4,753,19,0,8,0,0,32,304",6,6363,6573,4365,2148,2358,2025-11-14 04:13:59
organized_50_start7_rgb0.85_fft0.8,organized_50,50,7,0.85,0.8,0.9318548387096774,0.7685483870967742,0.9233870967741935,"126,2,0,0,7,7,0,615,0,0,2,1,0,1,186,0,20,1,1,0,0,324,0,0,27,14,36,3,725,38,3,1,0,0,5,335","17,59,0,0,47,19,4,545,0,1,64,4,1,58,80,0,68,1,0,3,0,320,2,0,3,124,6,5,674,31,3,31,0,0,40,270","124,4,0,0,9,5,0,616,0,0,2,0,0,14,169,0,24,1,1,0,0,324,0,0,21,28,32,3,728,31,2,4,0,0,9,329",6,6387,6591,4280,2172,2376,2025-11-14 05:56:21
organized_50_start10_rgb0.95_fft0.9,organized_50,50,10,0.95,0.9,0.9056451612903226,0.7887096774193548,0.8927419354838709,"87,25,0,0,27,3,0,617,0,0,1,0,0,8,169,0,31,0,0,1,0,323,1,0,5,27,26,7,760,18,1,25,0,0,28,290","5,66,8,0,31,32,2,583,8,1,20,4,2,35,146,0,21,4,0,2,0,321,2,0,5,127,44,7,608,52,1,32,6,1,11,293","65,40,0,0,26,11,0,617,0,0,1,0,0,24,165,0,18,1,0,1,0,324,0,0,4,43,30,3,734,29,0,25,0,0,10,309",6,6133,6049,3526,1918,1834,2025-11-14 07:31:15
organized_50_start10_rgb0.9_fft0.85,organized_50,50,10,0.9,0.85,0.9233870967741935,0.771774193548387,0.917741935483871,"100,1,0,0,37,4,0,609,0,1,7,1,0,0,175,0,33,0,1,0,0,323,1,0,10,10,22,3,778,20,3,4,0,0,32,305","1,61,0,0,42,38,0,553,1,2,53,9,0,55,67,0,82,4,0,1,0,322,0,2,0,103,6,4,691,39,0,26,0,2,36,280","90,4,0,0,42,6,0,610,0,1,6,1,0,2,167,0,39,0,1,0,0,323,1,0,8,16,17,3,778,21,2,7,0,1,26,308",6,6121,6072,3545,1906,1857,2025-11-14 09:08:00
organized_50_start10_rgb0.85_fft0.8,organized_50,50,10,0.85,0.8,0.9141129032258064,0.7766129032258065,0.9120967741935484,"117,0,0,0,24,1,0,597,0,0,21,0,0,0,156,0,52,0,1,0,0,322,2,0,14,9,12,3,793,12,1,1,0,0,60,282","27,61,0,0,33,21,1,573,1,1,38,4,4,62,77,0,54,11,0,1,0,319,5,0,12,133,11,4,640,43,6,28,0,0,20,290","111,1,0,0,25,5,0,602,0,0,16,0,0,12,141,0,55,0,1,0,0,323,1,0,14,12,13,3,779,22,1,2,0,0,35,306",6,6127,6018,3647,1912,1803,2025-11-14 10:49:54
